Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
14322	  0.179	 -0.216	  0.453	  0.198	  0.121	 -9.726	  0.008	 -0.004	  0.003	 32.200	 98.753	 -99999.000
14372	  0.180	 -0.219	  0.452	  0.173	  0.050	 -9.772	  0.015	 -0.001	  0.005	 32.100	 98.749	 -99999.000
14422	  0.183	 -0.216	  0.448	  0.210	 -0.008	 -9.807	 -0.005	  0.010	  0.005	 32.200	 98.753	 -99999.000
14472	  0.182	 -0.223	  0.450	  0.214	  0.050	 -9.803	 -0.015	  0.006	  0.005	 32.100	 98.760	 -99999.000
14522	  0.180	 -0.226	  0.451	  0.226	  0.095	 -9.756	 -0.012	  0.000	  0.004	 32.200	 98.753	 -99999.000
14572	  0.180	 -0.226	  0.448	  0.195	  0.078	 -9.769	  0.007	 -0.007	  0.004	 32.100	 98.749	 -99999.000
14622	  0.180	 -0.224	  0.450	  0.176	  0.052	 -9.783	  0.004	  0.003	  0.004	 32.200	 98.764	 -99999.000
14672	  0.183	 -0.218	  0.449	  0.222	  0.027	 -9.789	 -0.011	  0.011	  0.003	 32.200	 98.753	 -99999.000
14722	  0.179	 -0.225	  0.451	  0.196	  0.082	 -9.839	 -0.014	  0.006	  0.003	 32.200	 98.753	 -99999.000
14772	  0.181	 -0.219	  0.451	  0.215	  0.096	 -9.770	 -0.004	 -0.003	  0.003	 32.200	 98.753	 -99999.000
14822	  0.179	 -0.228	  0.453	  0.180	  0.055	 -9.749	  0.011	 -0.006	  0.002	 32.200	 98.753	 -99999.000
14872	  0.181	 -0.219	  0.451	  0.184	  0.012	 -9.767	 -0.003	  0.007	  0.003	 32.200	 98.764	 -99999.000
14922	  0.182	 -0.224	  0.451	  0.215	  0.057	 -9.756	 -0.017	  0.015	  0.003	 32.200	 98.742	 -99999.000
14972	  0.180	 -0.221	  0.445	  0.270	  0.090	 -9.664	 -0.011	  0.003	  0.001	 32.200	 98.753	 -99999.000
15022	  0.180	 -0.219	  0.451	  0.227	  0.078	 -9.772	  0.006	 -0.010	  0.004	 32.200	 98.753	 -99999.000
15072	  0.182	 -0.221	  0.448	  0.197	 -0.012	 -9.795	  0.006	 -0.005	  0.004	 32.200	 98.753	 -99999.000
15122	  0.183	 -0.224	  0.447	  0.158	  0.030	 -9.825	 -0.011	  0.012	  0.005	 32.100	 98.749	 -99999.000
15172	  0.181	 -0.224	  0.450	  0.236	  0.065	 -9.755	 -0.013	  0.016	  0.005	 32.200	 98.753	 -99999.000
15222	  0.180	 -0.229	  0.451	  0.235	  0.124	 -9.755	 -0.004	 -0.000	  0.004	 32.200	 98.738	 -99999.000
15272	  0.183	 -0.216	  0.450	  0.184	  0.092	 -9.718	  0.007	 -0.008	  0.005	 32.200	 98.753	 -99999.000
15322	  0.181	 -0.225	  0.452	  0.164	  0.004	 -9.839	 -0.003	 -0.004	  0.003	 32.200	 98.742	 -99999.000
15372	  0.179	 -0.225	  0.450	  0.187	  0.053	 -9.797	 -0.013	  0.014	  0.002	 32.100	 98.738	 -99999.000
15422	  0.181	 -0.222	  0.448	  0.221	  0.070	 -9.776	 -0.006	  0.009	  0.002	 32.200	 98.753	 -99999.000
15472	  0.179	 -0.225	  0.445	  0.221	  0.055	 -9.740	 -0.001	 -0.000	  0.003	 32.200	 98.764	 -99999.000
15522	  0.180	 -0.226	  0.448	  0.205	  0.051	 -9.769	  0.003	 -0.008	  0.004	 32.200	 98.760	 -99999.000
15572	  0.181	 -0.223	  0.449	  0.186	  0.042	 -9.778	 -0.006	  0.004	  0.004	 32.200	 98.753	 -99999.000
15622	  0.183	 -0.222	  0.442	  0.210	  0.043	 -9.764	 -0.009	  0.009	  0.004	 32.200	 98.764	 -99999.000
15672	  0.182	 -0.225	  0.452	  0.224	  0.075	 -9.785	 -0.007	  0.009	  0.004	 32.200	 98.742	 -99999.000
15722	  0.181	 -0.221	  0.448	  0.242	  0.090	 -9.756	  0.001	 -0.001	  0.003	 32.200	 98.753	 -99999.000
15772	  0.183	 -0.227	  0.450	  0.170	  0.029	 -9.790	  0.004	 -0.006	  0.005	 32.200	 98.753	 -99999.000
15822	  0.182	 -0.228	  0.449	  0.188	  0.042	 -9.778	 -0.011	  0.004	  0.004	 32.200	 98.749	 -99999.000
15872	  0.178	 -0.227	  0.452	  0.208	  0.064	 -9.748	 -0.010	  0.011	  0.003	 32.200	 98.753	 -99999.000
15922	  0.181	 -0.224	  0.448	  0.222	  0.084	 -9.701	 -0.005	  0.008	  0.004	 32.200	 98.753	 -99999.000
15972	  0.181	 -0.217	  0.450	  0.222	  0.075	 -9.792	  0.006	 -0.005	  0.004	 32.200	 98.742	 -99999.000
16022	  0.183	 -0.224	  0.449	  0.181	  0.035	 -9.808	 -0.002	 -0.004	  0.003	 32.200	 98.764	 -99999.000
16072	  0.182	 -0.226	  0.449	  0.202	  0.050	 -9.762	 -0.011	  0.008	  0.005	 32.200	 98.753	 -99999.000
16122	  0.182	 -0.229	  0.450	  0.226	  0.078	 -9.781	 -0.007	  0.006	  0.003	 32.200	 98.757	 -99999.000
16172	  0.181	 -0.223	  0.449	  0.233	  0.086	 -9.781	 -0.000	  0.006	  0.004	 32.200	 98.753	 -99999.000
16222	  0.182	 -0.226	  0.450	  0.217	  0.029	 -9.752	  0.004	 -0.004	  0.005	 32.200	 98.742	 -99999.000
16272	  0.183	 -0.221	  0.447	  0.175	  0.038	 -9.775	 -0.008	  0.003	  0.004	 32.200	 98.753	 -99999.000
16322	  0.178	 -0.225	  0.454	  0.218	  0.091	 -9.737	 -0.012	  0.004	  0.003	 32.200	 98.753	 -99999.000
16372	  0.181	 -0.226	  0.448	  0.191	  0.092	 -9.757	 -0.004	  0.006	  0.005	 32.200	 98.742	 -99999.000
16422	  0.181	 -0.226	  0.448	  0.236	  0.069	 -9.771	  0.004	  0.000	  0.003	 32.200	 98.764	 -99999.000
16472	  0.182	 -0.223	  0.449	  0.217	  0.063	 -9.811	 -0.002	  0.002	  0.004	 32.200	 98.764	 -99999.000
16522	  0.182	 -0.229	  0.455	  0.214	  0.048	 -9.754	 -0.008	  0.003	  0.005	 32.200	 98.742	 -99999.000
16572	  0.181	 -0.216	  0.452	  0.206	  0.074	 -9.784	 -0.010	  0.002	  0.003	 32.200	 98.753	 -99999.000
16622	  0.180	 -0.223	  0.451	  0.213	  0.098	 -9.749	  0.001	  0.003	  0.004	 32.200	 98.753	 -99999.000
16672	  0.181	 -0.219	  0.450	  0.234	  0.078	 -9.770	 -0.000	  0.001	  0.004	 32.200	 98.753	 -99999.000
16722	  0.183	 -0.226	  0.452	  0.184	  0.056	 -9.769	 -0.003	  0.002	  0.004	 32.200	 98.742	 -99999.000
16772	  0.180	 -0.224	  0.452	  0.225	  0.055	 -9.763	 -0.009	  0.004	  0.004	 32.200	 98.753	 -99999.000
16823	  0.181	 -0.213	  0.449	  0.214	  0.093	 -9.788	 -0.006	  0.004	  0.003	 32.200	 98.753	 -99999.000
16872	  0.180	 -0.223	  0.451	  0.198	  0.094	 -9.793	 -0.000	  0.001	  0.004	 32.200	 98.753	 -99999.000
16922	  0.179	 -0.220	  0.446	  0.189	  0.071	 -9.814	  0.002	  0.004	  0.004	 32.200	 98.742	 -99999.000
16972	  0.181	 -0.224	  0.450	  0.202	  0.039	 -9.759	 -0.006	  0.002	  0.004	 32.200	 98.764	 -99999.000
17022	  0.179	 -0.225	  0.448	  0.222	  0.079	 -9.785	 -0.010	  0.004	  0.003	 32.200	 98.742	 -99999.000
17072	  0.180	 -0.217	  0.448	  0.225	  0.057	 -9.734	 -0.005	  0.001	  0.003	 32.200	 98.742	 -99999.000
17121	  0.179	 -0.223	  0.450	  0.217	  0.056	 -9.766	  0.004	  0.002	  0.005	 32.200	 98.753	 -99999.000
17171	  0.180	 -0.223	  0.444	  0.227	  0.023	 -9.741	 -0.001	  0.001	  0.005	 32.200	 98.753	 -99999.000
17221	  0.182	 -0.224	  0.450	  0.218	  0.044	 -9.792	 -0.010	  0.004	  0.004	 32.200	 98.742	 -99999.000
17272	  0.179	 -0.223	  0.451	  0.209	  0.092	 -9.743	 -0.009	  0.003	  0.004	 32.200	 98.753	 -99999.000
18323	  0.180	 -0.224	  0.453	  0.227	  0.071	 -9.724	 -0.001	  0.000	  0.004	 32.200	 98.753	 -99999.000
18373	  0.179	 -0.221	  0.446	  0.188	  0.053	 -9.781	 -0.006	  0.001	  0.004	 32.200	 98.742	 -99999.000
18422	  0.181	 -0.222	  0.453	  0.208	  0.077	 -9.752	 -0.012	  0.003	  0.004	 32.200	 98.753	 -99999.000
18472	  0.179	 -0.223	  0.453	  0.197	  0.102	 -9.759	 -0.001	  0.004	  0.004	 32.200	 98.742	 -99999.000
18522	  0.181	 -0.223	  0.448	  0.213	  0.067	 -9.781	 -0.001	  0.003	  0.005	 32.200	 98.742	 -99999.000
18572	  0.181	 -0.223	  0.454	  0.206	  0.055	 -9.751	 -0.004	  0.001	  0.005	 32.200	 98.742	 -99999.000
18622	  0.180	 -0.225	  0.451	  0.210	  0.079	 -9.765	 -0.010	  0.003	  0.005	 32.200	 98.742	 -99999.000
18672	  0.179	 -0.224	  0.452	  0.232	  0.069	 -9.718	 -0.003	  0.004	  0.003	 32.200	 98.753	 -99999.000
18722	  0.178	 -0.223	  0.452	  0.197	  0.098	 -9.768	 -0.003	  0.001	  0.005	 32.200	 98.742	 -99999.000
18772	  0.182	 -0.221	  0.451	  0.216	  0.056	 -9.796	 -0.004	  0.003	  0.003	 32.200	 98.753	 -99999.000
18822	  0.178	 -0.219	  0.451	  0.224	  0.071	 -9.781	 -0.004	  0.004	  0.003	 32.200	 98.753	 -99999.000
18872	  0.180	 -0.222	  0.450	  0.215	  0.072	 -9.770	 -0.005	  0.003	  0.003	 32.200	 98.764	 -99999.000
18922	  0.180	 -0.224	  0.449	  0.213	  0.069	 -9.759	 -0.004	  0.002	  0.003	 32.200	 98.749	 -99999.000
18972	  0.181	 -0.223	  0.449	  0.212	  0.091	 -9.712	 -0.004	  0.002	  0.004	 32.200	 98.753	 -99999.000
19022	  0.180	 -0.221	  0.449	  0.217	  0.060	 -9.792	 -0.003	  0.005	  0.005	 32.200	 98.753	 -99999.000
19072	  0.180	 -0.222	  0.451	  0.204	  0.056	 -9.764	 -0.003	  0.003	  0.004	 32.200	 98.742	 -99999.000
19122	  0.181	 -0.221	  0.447	  0.208	  0.068	 -9.783	 -0.006	  0.002	  0.005	 32.200	 98.753	 -99999.000
19172	  0.179	 -0.226	  0.451	  0.222	  0.071	 -9.794	 -0.002	  0.001	  0.004	 32.200	 98.753	 -99999.000
19222	  0.177	 -0.220	  0.452	  0.208	  0.074	 -9.772	 -0.005	  0.004	  0.005	 32.200	 98.742	 -99999.000
19272	  0.181	 -0.224	  0.449	  0.226	  0.076	 -9.754	 -0.004	  0.001	  0.003	 32.200	 98.757	 -99999.000
19322	  0.181	 -0.217	  0.451	  0.194	  0.056	 -9.769	 -0.006	  0.002	  0.003	 32.200	 98.753	 -99999.000
19372	  0.179	 -0.217	  0.452	  0.244	  0.065	 -9.741	 -0.004	  0.003	  0.003	 32.200	 98.742	 -99999.000
19422	  0.179	 -0.222	  0.449	  0.207	  0.059	 -9.769	 -0.004	  0.002	  0.003	 32.200	 98.753	 -99999.000
19472	  0.182	 -0.223	  0.451	  0.218	  0.044	 -9.790	 -0.002	  0.002	  0.004	 32.200	 98.742	 -99999.000
19522	  0.182	 -0.221	  0.449	  0.195	  0.059	 -9.819	 -0.005	  0.001	  0.003	 32.200	 98.742	 -99999.000
19572	  0.178	 -0.223	  0.443	  0.204	  0.077	 -9.764	 -0.007	  0.004	  0.004	 32.200	 98.753	 -99999.000
19622	  0.178	 -0.222	  0.453	  0.231	  0.053	 -9.799	 -0.001	  0.002	  0.003	 32.200	 98.753	 -99999.000
19672	  0.179	 -0.222	  0.452	  0.186	  0.083	 -9.770	 -0.004	  0.001	  0.005	 32.200	 98.753	 -99999.000
19722	  0.179	 -0.219	  0.449	  0.203	  0.058	 -9.736	 -0.004	  0.001	  0.004	 32.200	 98.753	 -99999.000
19772	  0.179	 -0.223	  0.453	  0.211	  0.060	 -9.777	 -0.006	  0.002	  0.004	 32.200	 98.742	 -99999.000
19822	  0.180	 -0.224	  0.451	  0.227	  0.064	 -9.767	 -0.004	  0.005	  0.003	 32.200	 98.753	 -99999.000
19872	  0.180	 -0.224	  0.451	  0.213	  0.075	 -9.776	 -0.002	 -0.001	  0.004	 32.200	 98.753	 -99999.000
19922	  0.181	 -0.223	  0.451	  0.205	  0.051	 -9.775	 -0.002	  0.004	  0.005	 32.200	 98.764	 -99999.000
19972	  0.179	 -0.219	  0.450	  0.216	  0.052	 -9.770	 -0.005	 -0.002	  0.004	 32.200	 98.753	 -99999.000
20022	  0.179	 -0.217	  0.452	  0.207	  0.067	 -9.797	 -0.006	  0.005	  0.003	 32.200	 98.742	 -99999.000
20072	  0.181	 -0.225	  0.448	  0.222	  0.071	 -9.781	 -0.006	  0.003	  0.004	 32.200	 98.753	 -99999.000
20122	  0.182	 -0.220	  0.444	  0.203	  0.051	 -9.759	 -0.002	  0.002	  0.004	 32.200	 98.753	 -99999.000
20172	  0.180	 -0.225	  0.451	  0.187	  0.077	 -9.772	 -0.006	  0.003	  0.004	 32.200	 98.753	 -99999.000
20222	  0.179	 -0.225	  0.449	  0.221	  0.080	 -9.746	 -0.001	 -0.000	  0.003	 32.200	 98.753	 -99999.000
20272	  0.181	 -0.216	  0.450	  0.192	  0.060	 -9.806	 -0.006	  0.003	  0.003	 32.200	 98.753	 -99999.000
20322	  0.178	 -0.217	  0.451	  0.243	  0.089	 -9.729	 -0.006	  0.006	  0.003	 32.200	 98.753	 -99999.000
20372	  0.179	 -0.224	  0.451	  0.192	  0.085	 -9.727	 -0.002	  0.001	  0.004	 32.200	 98.742	 -99999.000
20422	  0.182	 -0.221	  0.450	  0.203	  0.084	 -9.754	 -0.005	  0.000	  0.005	 32.200	 98.742	 -99999.000
20472	  0.181	 -0.224	  0.454	  0.207	  0.060	 -9.796	 -0.004	  0.005	  0.003	 32.200	 98.753	 -99999.000
20522	  0.180	 -0.225	  0.450	  0.214	  0.079	 -9.791	 -0.006	  0.003	  0.004	 32.200	 98.764	 -99999.000
20572	  0.177	 -0.224	  0.452	  0.183	  0.051	 -9.797	 -0.002	  0.003	  0.003	 32.200	 98.753	 -99999.000
20622	  0.181	 -0.214	  0.448	  0.227	  0.068	 -9.726	 -0.003	  0.004	  0.003	 32.200	 98.753	 -99999.000
20672	  0.179	 -0.221	  0.448	  0.224	  0.054	 -9.792	 -0.003	  0.002	  0.003	 32.200	 98.742	 -99999.000
20722	  0.178	 -0.224	  0.446	  0.189	  0.080	 -9.731	 -0.009	  0.001	  0.003	 32.200	 98.753	 -99999.000
20772	  0.179	 -0.221	  0.444	  0.194	  0.051	 -9.744	 -0.003	  0.005	  0.003	 32.200	 98.742	 -99999.000
20822	  0.179	 -0.223	  0.444	  0.198	  0.073	 -9.788	 -0.002	  0.004	  0.005	 32.200	 98.742	 -99999.000
20872	  0.177	 -0.218	  0.450	  0.217	  0.063	 -9.726	 -0.004	  0.005	  0.004	 32.200	 98.753	 -99999.000
20922	  0.180	 -0.224	  0.452	  0.199	  0.061	 -9.761	 -0.005	  0.001	  0.005	 32.200	 98.753	 -99999.000
20972	  0.180	 -0.225	  0.447	  0.215	  0.064	 -9.764	 -0.008	  0.003	  0.005	 32.200	 98.753	 -99999.000
21022	  0.179	 -0.214	  0.451	  0.181	  0.081	 -9.797	 -0.004	 -0.001	  0.003	 32.200	 98.764	 -99999.000
21072	  0.180	 -0.212	  0.452	  0.184	  0.044	 -9.747	 -0.001	  0.005	  0.004	 32.200	 98.753	 -99999.000
21122	  0.179	 -0.216	  0.450	  0.219	  0.043	 -9.803	 -0.002	  0.005	  0.003	 32.200	 98.742	 -99999.000
21172	  0.178	 -0.223	  0.447	  0.209	  0.050	 -9.744	 -0.007	  0.005	  0.003	 32.200	 98.753	 -99999.000
21222	  0.180	 -0.219	  0.448	  0.234	  0.070	 -9.738	 -0.009	 -0.001	  0.004	 32.200	 98.753	 -99999.000
21272	  0.179	 -0.223	  0.451	  0.216	  0.073	 -9.755	 -0.004	  0.000	  0.005	 32.200	 98.742	 -99999.000
27248	  0.179	 -0.222	  0.449	  0.167	  0.076	 -9.764	  0.001	  0.003	  0.002	 32.200	 98.753	 -0.267
27297	  0.181	 -0.222	  0.449	  0.199	  0.051	 -9.769	 -0.000	  0.003	  0.003	 32.200	 98.753	 -0.267
27347	  0.183	 -0.227	  0.452	  0.165	  0.076	 -9.736	 -0.013	 -0.001	  0.004	 32.200	 98.753	 -0.267
27398	  0.180	 -0.227	  0.450	  0.211	  0.082	 -9.783	 -0.009	 -0.000	  0.003	 32.200	 98.753	 -0.267
27447	  0.184	 -0.228	  0.447	  0.210	  0.059	 -9.794	 -0.001	  0.006	  0.001	 32.200	 98.742	  0.732
27498	  0.182	 -0.217	  0.448	  0.203	  0.045	 -9.769	  0.002	  0.005	  0.000	 32.200	 98.757	 -0.631
27547	  0.183	 -0.220	  0.453	  0.210	  0.011	 -9.786	 -0.003	  0.005	  0.002	 32.200	 98.742	  0.732
27597	  0.181	 -0.224	  0.450	  0.219	  0.048	 -9.748	 -0.012	  0.003	  0.004	 32.200	 98.753	 -0.267
27647	  0.180	 -0.226	  0.451	  0.220	  0.061	 -9.754	 -0.005	 -0.007	  0.003	 32.200	 98.768	 -1.630
27697	  0.180	 -0.222	  0.447	  0.192	  0.068	 -9.791	  0.000	  0.002	  0.004	 32.200	 98.764	 -1.267
27747	  0.181	 -0.224	  0.452	  0.198	  0.057	 -9.705	 -0.002	  0.013	  0.006	 32.200	 98.753	 -0.267
27797	  0.181	 -0.222	  0.447	  0.210	  0.060	 -9.752	 -0.005	  0.007	  0.008	 32.200	 98.753	 -0.267
27847	  0.183	 -0.222	  0.449	  0.251	  0.054	 -9.767	 -0.007	 -0.003	  0.005	 32.200	 98.742	  0.732
27898	  0.181	 -0.221	  0.448	  0.221	  0.055	 -9.811	 -0.010	 -0.011	  0.003	 32.200	 98.753	 -0.267
27948	  0.181	 -0.222	  0.449	  0.149	  0.061	 -9.754	 -0.001	  0.001	  0.003	 32.200	 98.753	 -0.267
27998	  0.180	 -0.223	  0.449	  0.167	  0.072	 -9.773	  0.001	  0.019	  0.004	 32.200	 98.753	 -0.267
28048	  0.180	 -0.224	  0.448	  0.243	  0.060	 -9.725	 -0.002	  0.009	  0.004	 32.200	 98.753	 -0.267
28098	  0.182	 -0.228	  0.454	  0.235	  0.033	 -9.771	 -0.006	 -0.009	  0.003	 32.200	 98.757	 -0.631
28148	  0.182	 -0.217	  0.449	  0.215	  0.059	 -9.762	 -0.010	 -0.008	  0.002	 32.200	 98.753	 -0.267
28198	  0.180	 -0.224	  0.454	  0.187	  0.086	 -9.797	 -0.002	  0.006	  0.004	 32.200	 98.757	 -0.631
28248	  0.179	 -0.223	  0.449	  0.242	  0.062	 -9.782	  0.001	  0.017	  0.003	 32.200	 98.757	 -0.631
28298	  0.183	 -0.222	  0.447	  0.240	  0.050	 -9.755	  0.001	  0.009	  0.002	 32.200	 98.764	 -1.267
28348	  0.183	 -0.219	  0.448	  0.233	  0.056	 -9.762	 -0.012	 -0.009	  0.004	 32.200	 98.742	  0.732
28398	  0.179	 -0.226	  0.450	  0.214	  0.069	 -9.766	 -0.009	 -0.004	  0.003	 32.200	 98.742	  0.732
28448	  0.183	 -0.225	  0.448	  0.196	  0.084	 -9.778	 -0.004	  0.003	  0.006	 32.200	 98.757	 -0.631
28498	  0.182	 -0.225	  0.451	  0.235	  0.052	 -9.745	  0.000	  0.012	  0.003	 32.200	 98.757	 -0.631
28548	  0.182	 -0.215	  0.450	  0.252	  0.038	 -9.827	 -0.002	  0.003	  0.004	 32.200	 98.753	 -0.267
28598	  0.183	 -0.218	  0.451	  0.225	  0.041	 -9.798	 -0.008	 -0.006	  0.002	 32.200	 98.753	 -0.267
28648	  0.182	 -0.226	  0.449	  0.168	  0.100	 -9.769	 -0.010	 -0.009	  0.004	 32.200	 98.768	 -1.630
28698	  0.182	 -0.224	  0.451	  0.153	  0.098	 -9.754	 -0.004	  0.001	  0.002	 32.200	 98.753	 -0.267
28748	  0.180	 -0.229	  0.450	  0.179	  0.093	 -9.768	 -0.002	  0.011	  0.005	 32.200	 98.753	 -0.267
28798	  0.180	 -0.217	  0.446	  0.234	  0.054	 -9.729	 -0.000	  0.010	  0.002	 32.200	 98.764	 -1.267
28848	  0.183	 -0.223	  0.450	  0.237	  0.038	 -9.783	 -0.009	 -0.003	  0.003	 32.200	 98.757	 -0.631
28898	  0.181	 -0.225	  0.448	  0.209	  0.074	 -9.783	 -0.011	 -0.005	  0.005	 32.200	 98.757	 -0.631
28948	  0.180	 -0.226	  0.449	  0.194	  0.067	 -9.767	  0.002	  0.008	  0.006	 32.200	 98.742	  0.732
28998	  0.181	 -0.225	  0.443	  0.229	  0.038	 -9.769	  0.001	  0.008	  0.004	 32.200	 98.742	  0.732
29048	  0.181	 -0.222	  0.452	  0.247	  0.026	 -9.796	 -0.007	  0.004	  0.005	 32.200	 98.742	  0.732
29098	  0.183	 -0.223	  0.450	  0.223	  0.050	 -9.762	 -0.010	 -0.000	  0.005	 32.200	 98.753	 -0.267
29148	  0.181	 -0.222	  0.448	  0.222	  0.056	 -9.795	 -0.004	 -0.003	  0.005	 32.200	 98.753	 -0.267
29198	  0.184	 -0.225	  0.450	  0.182	  0.095	 -9.770	 -0.002	  0.001	  0.004	 32.200	 98.753	 -0.267
29248	  0.180	 -0.219	  0.445	  0.176	  0.072	 -9.761	 -0.003	  0.009	  0.006	 32.200	 98.753	 -0.267
29298	  0.180	 -0.228	  0.451	  0.213	  0.059	 -9.782	 -0.003	  0.005	  0.005	 32.200	 98.768	 -1.630
29348	  0.180	 -0.223	  0.449	  0.227	  0.062	 -9.793	 -0.010	 -0.002	  0.003	 32.200	 98.742	  0.732
29398	  0.182	 -0.226	  0.449	  0.171	  0.084	 -9.755	 -0.004	 -0.001	  0.003	 32.200	 98.753	 -0.267
29448	  0.183	 -0.215	  0.449	  0.177	  0.070	 -9.719	 -0.003	 -0.000	  0.004	 32.200	 98.764	 -1.267
29498	  0.181	 -0.226	  0.450	  0.211	  0.058	 -9.746	 -0.002	  0.007	  0.004	 32.200	 98.753	 -0.267
29548	  0.185	 -0.224	  0.450	  0.238	  0.049	 -9.783	 -0.006	  0.011	  0.003	 32.200	 98.764	 -1.267
29598	  0.182	 -0.222	  0.452	  0.255	  0.066	 -9.755	 -0.005	  0.001	  0.006	 32.200	 98.753	 -0.267
29648	  0.183	 -0.220	  0.455	  0.178	  0.057	 -9.777	 -0.005	 -0.005	  0.005	 32.200	 98.753	 -0.267
29698	  0.181	 -0.220	  0.450	  0.155	  0.071	 -9.802	 -0.005	  0.001	  0.004	 32.200	 98.764	 -1.267
29748	  0.182	 -0.228	  0.452	  0.194	  0.067	 -9.782	 -0.004	  0.010	  0.003	 32.200	 98.753	 -0.267
29798	  0.178	 -0.223	  0.447	  0.208	  0.064	 -9.794	 -0.004	  0.009	  0.004	 32.200	 98.753	 -0.267
29848	  0.179	 -0.226	  0.451	  0.232	  0.074	 -9.765	 -0.004	 -0.002	  0.004	 32.200	 98.753	 -0.267
29898	  0.182	 -0.226	  0.449	  0.107	 -0.142	 -9.810	 -0.056	  0.056	  0.012	 32.200	 98.753	 -0.267
29948	  0.180	 -0.227	  0.449	  0.393	  0.307	 -9.646	 -0.053	  0.068	  0.013	 32.200	 98.764	 -1.267
29998	  0.179	 -0.226	  0.448	  0.101	  0.331	 -9.763	  0.044	 -0.005	  0.006	 32.200	 98.742	  0.732
30048	  0.180	 -0.221	  0.444	  0.239	  0.058	 -9.784	  0.021	 -0.009	 -0.009	 32.200	 98.753	 -0.267
30098	  0.180	 -0.223	  0.448	  0.420	  0.249	 -9.682	  0.028	 -0.078	 -0.012	 32.200	 98.753	 -0.267
30148	  0.184	 -0.218	  0.450	  0.170	 -0.385	 -9.879	  0.108	 -0.004	 -0.012	 32.200	 98.753	 -0.267
30198	  0.183	 -0.216	  0.450	  0.353	 -1.026	 -10.091	 -0.256	  0.098	 -0.168	 32.200	 98.742	  0.732
30248	  0.179	 -0.226	  0.452	  0.517	  0.952	 -9.422	 -0.121	  0.123	 -0.127	 32.200	 98.753	 -0.267
30298	  0.179	 -0.230	  0.451	  0.802	  0.704	 -9.416	  0.150	 -0.006	 -0.222	 32.200	 98.757	 -0.631
30348	  0.184	 -0.215	  0.448	  0.159	 -0.149	 -9.525	  0.292	 -0.070	 -0.286	 32.200	 98.757	 -0.631
30398	  0.185	 -0.216	  0.452	 -0.338	 -0.286	 -9.959	  0.015	 -0.044	 -0.104	 32.200	 98.764	 -1.267
30448	  0.187	 -0.211	  0.455	  0.289	 -0.299	 -9.880	 -0.116	  0.044	  0.010	 32.200	 98.768	 -1.630
30498	  0.188	 -0.218	  0.454	  0.547	  0.441	 -9.633	 -0.076	 -0.027	  0.011	 32.200	 98.753	 -0.267
30548	  0.187	 -0.217	  0.451	  0.152	  0.104	 -9.797	  0.043	 -0.084	  0.004	 32.200	 98.730	  1.821
30598	  0.190	 -0.217	  0.456	  0.139	 -0.125	 -9.821	  0.003	 -0.015	 -0.001	 32.200	 98.764	 -1.267
30648	  0.191	 -0.205	  0.457	  0.306	 -0.014	 -9.755	 -0.079	 -0.009	  0.002	 32.200	 98.753	 -0.267
30698	  0.189	 -0.217	  0.453	  0.110	  0.546	 -9.580	  0.017	  0.016	  0.002	 32.200	 98.753	 -0.267
30748	  0.191	 -0.218	  0.449	  0.324	 -0.280	 -9.862	  0.102	  0.037	 -0.077	 32.200	 98.757	 -0.631
30798	  0.191	 -0.209	  0.455	  0.209	  0.049	 -9.830	  0.050	  0.090	  0.032	 32.200	 98.753	 -0.267
30848	  0.186	 -0.211	  0.452	  0.640	 -0.453	 -9.861	  0.015	 -0.015	 -0.009	 32.200	 98.742	  0.732
30898	  0.188	 -0.213	  0.452	  0.250	 -0.024	 -9.716	 -0.120	 -0.047	  0.004	 32.200	 98.753	 -0.267
30948	  0.189	 -0.208	  0.456	  0.104	  0.084	 -9.882	 -0.097	 -0.004	  0.003	 32.200	 98.768	 -1.630
30998	  0.191	 -0.215	  0.456	  0.318	  0.375	 -9.624	 -0.018	  0.012	 -0.005	 32.200	 98.753	 -0.267
31047	  0.188	 -0.217	  0.454	  0.214	  0.218	 -9.740	  0.068	 -0.025	 -0.049	 32.200	 98.757	 -0.631
31097	  0.191	 -0.215	  0.450	  0.026	 -0.058	 -9.822	  0.040	 -0.001	 -0.002	 32.200	 98.753	 -0.267
31147	  0.191	 -0.216	  0.457	  0.203	 -0.125	 -9.856	 -0.047	  0.030	  0.008	 32.200	 98.753	 -0.267
31197	  0.188	 -0.214	  0.455	  0.492	  0.255	 -9.644	 -0.026	  0.057	 -0.008	 32.200	 98.757	 -0.631
31247	  0.191	 -0.213	  0.457	 -0.121	  0.040	 -9.852	  0.006	 -0.045	  0.000	 32.200	 98.753	 -0.267
31297	  0.189	 -0.214	  0.451	  0.439	  0.161	 -9.726	  0.002	 -0.007	  0.001	 32.200	 98.753	 -0.267
31347	  0.191	 -0.212	  0.451	  0.086	  0.132	 -9.656	  0.006	 -0.033	  0.009	 32.200	 98.753	 -0.267
31397	  0.192	 -0.214	  0.455	  0.201	  0.141	 -9.720	  0.032	 -0.053	 -0.005	 32.200	 98.753	 -0.267
31447	  0.191	 -0.212	  0.449	  0.152	 -0.079	 -9.831	 -0.009	  0.033	  0.009	 32.200	 98.753	 -0.267
